id,dataset_id,case_type,question_text,expected_focus,expected_intent,sort_order,is_active,created_at,updated_at
617,63,summary,商用事业群2026年整体完成情况,事业群整体总任务金额、年度开单金额、达成率,generate_sql,1,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
618,63,ranking,2026年各战区开单金额排名,按年度开单金额对战区降序排名,generate_sql,2,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
619,63,filter,达成率低于30%的片区,片区层级，达成率<30%,generate_sql,3,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
620,63,drilldown,沧澜战区下属片区完成情况,沧澜战区下片区明细,generate_sql,4,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
621,63,segment,5月份全公司办公板块开了多少,商用事业群、楼宇办公行业线、5月,generate_sql,5,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
622,13,summary,消费者事业群整体达成率是多少,,aggregation,1,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
623,13,summary,沧澜战区业绩怎么样,,single_entity,2,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
624,13,summary,各战区达成率排名,,ranking,3,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
625,13,summary,沧澜战区和淼澜战区对比,,comparative,4,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
626,13,summary,查看某战区的城市站明细,,drilldown,5,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1003,3,summary,商用事业群整体达成率是多少,返回战区/行业部层级汇总，不应为空,generate_sql,10,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1004,3,single_entity,沧澜战区业绩怎么样,返回沧澜战区及下级片区/客户经理,generate_sql,20,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1005,3,ranking,哪些片区达成率最低,返回片区层级，按达成率升序，不允许空报告,generate_sql,30,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1006,3,ranking,客户经理年度开单金额 Top10 是谁,返回客户经理层级，按年度开单金额降序,generate_sql,40,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1007,3,risk,哪些节点达成率低于10%,返回低达成节点，按达成率升序,generate_sql,50,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1008,3,confirmation,沧澜表现怎么样,需要明确整体、片区还是客户经理口径,confirm,60,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1293,62,summary,电商事业群年度目标营收是多少,事业群汇总,generate_sql,10,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
1294,62,filter,国内行业部下有哪些细分业务,国内行业部,generate_sql,20,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
1295,62,ranking,所有细分业务按年度开单金额排名,细分业务,generate_sql,30,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
1296,62,comparison,国内行业部和直营零售部对比,行业部对比,generate_sql,40,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
1429,2,summary,消费者事业的业绩咋样,返回消费者事业群总体、战区、城市战区，并说明总任务、开单、达成率、缺口。,generate_sql,10,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
1430,2,ranking,消费者事业群哪个战区完成最好？,仅比较战区层级，不混入城市战区。,generate_sql,20,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
1431,2,risk,哪些城市战区低于10%风险线？,城市战区层级风险列表，按达成率升序。,generate_sql,30,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
1432,2,risk,哪个战区低于30%？,仅筛选战区层级中达成率低于30%的对象，不回退到消费者事业群总体。,generate_sql,35,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
