id,dataset_id,table_name,column_name,jsonb_key,semantic_name,data_type,enum_mapping,extraction_rule,is_active,created_at,updated_at
12274,63,v_feishu_tblshangyongv2,id,,记录ID,integer,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12275,63,v_feishu_tblshangyongv2,record_id,,飞书记录ID,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12276,63,v_feishu_tblshangyongv2,上级名称,,上级名称,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12277,63,v_feishu_tblshangyongv2,剩余任务金额,,剩余任务金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12278,63,v_feishu_tblshangyongv2,去年同期开单,,去年同期开单,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12279,63,v_feishu_tblshangyongv2,层级,,层级,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12280,63,v_feishu_tblshangyongv2,年份,,年份,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12281,63,v_feishu_tblshangyongv2,年度开单金额,,年度开单金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12282,63,v_feishu_tblshangyongv2,总任务金额,,总任务金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12283,63,v_feishu_tblshangyongv2,月份,,月份,integer,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12284,63,v_feishu_tblshangyongv2,线,,线,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12285,63,v_feishu_tblshangyongv2,节点名称,,节点名称,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12286,63,v_feishu_tblshangyongv2,行业线,,行业线,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12287,63,v_feishu_tblshangyongv2,达成率,,达成率,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12288,63,v_reporting_nodes,achievement_rate,,达成率,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12289,63,v_reporting_nodes,billing_amount,,开单金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12290,63,v_reporting_nodes,billing_last_year,,去年同期开单,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12291,63,v_reporting_nodes,current_month,,月份,integer,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12292,63,v_reporting_nodes,current_year,,年份,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12293,63,v_reporting_nodes,line_type,,线,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12294,63,v_reporting_nodes,node_level,,层级,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12295,63,v_reporting_nodes,node_name,,节点名称,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
