id,dataset_id,intent_type,question,sql_text,tags,quality_score,usage_count,last_used_at,is_active,created_by,created_at,updated_at
989,63,mom,岚屿战区今年前6个月大盘开单的月度环比增速情况,"SELECT 月份, SUM(年度开单金额) AS 本月销售, LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) AS 上月销售, CASE WHEN LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) > 0 THEN ROUND((SUM(年度开单金额) - LAG(SUM(年度开单金额)) OVER (ORDER BY 月份)) / LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) * 100, 2) ELSE 0 END AS 环比增长 FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '岚屿战区' AND 层级 = '战区' AND 行业线 = '总额(未拆分)' AND 年份 = '2026' AND 月份 BETWEEN 1 AND 6 GROUP BY 月份 ORDER BY 月份;","['环比', '战区', '趋势']",99,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
996,63,filter,达成率低于30%的片区有哪些,"SELECT 节点名称 AS 片区, SUM(总任务金额) AS 任务额, SUM(年度开单金额) AS 开单额, CASE WHEN SUM(总任务金额) > 0 THEN ROUND(SUM(年度开单金额) / SUM(总任务金额) * 100, 2) ELSE 0 END AS 累计达成率 FROM public.v_feishu_tbl_gamma_v2 WHERE 年份 = '2026' AND 层级 = '片区' AND 行业线 = '总额(未拆分)' GROUP BY 节点名称 HAVING CASE WHEN SUM(总任务金额) > 0 THEN SUM(年度开单金额) / SUM(总任务金额) ELSE 0 END < 0.30 ORDER BY 累计达成率 ASC;","['筛选', '片区']",98,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
2392,62,comparison,内贸行业部和直营行业部的年度目标营收和毛利率对比,"SELECT 行业部, 年度目标营收, 年度开单金额, ROUND(总任务达成率 * 100, 2) AS 毛利率百分比 FROM v_feishu_tbl_beta WHERE 层级级别 = '行业部' AND 行业部 IN ('内贸行业部', '直营行业部') ORDER BY 年度目标营收 DESC;",[],95,0,,True,ui,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
2391,62,ranking,所有细分业务按年度开单金额排名,"SELECT 行业部, 细分业务, 年度开单金额, ROUND(总任务达成率 * 100, 2) AS 达成率百分比 FROM v_feishu_tbl_beta WHERE 层级级别 = '客户经理' ORDER BY 年度开单金额 DESC;",[],95,0,,True,ui,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
1668,3,detail,分析下衡原片区的业绩,"WITH 汇总结果 AS (
WITH raw_data AS (
  SELECT TRIM(COALESCE(CASE WHEN jsonb_typeof(fields->'战区') = 'array' THEN fields->'战区'->0->>'text' ELSE fields->>'战区' END,
        '')) AS 战区,
    TRIM(COALESCE(CASE WHEN jsonb_typeof(fields->'片区') = 'array' THEN fields->'片区'->0->>'text' ELSE fields->>'片区' END,
        '')) AS 片区,
    TRIM(COALESCE(CASE WHEN jsonb_typeof(fields->'客户经理') = 'array' THEN fields->'客户经理'->0->>'text' ELSE fields->>'客户经理' END,
        '')) AS 客户经理,
    '' AS 行业部,
    SUM(COALESCE(NULLIF(regexp_replace(COALESCE(CASE WHEN jsonb_typeof(fields->'总任务（金额）') = 'array' THEN fields->'总任务（金额）'->0->>'text' ELSE fields->>'总任务（金额）' END,
              '0'),
            '[^0-9.-]',
            '',
            'g'),
          ''),
        '0')::NUMERIC) AS 总任务金额,
    SUM(COALESCE(NULLIF(regexp_replace(COALESCE(CASE WHEN jsonb_typeof(fields->'年度开单金额') = 'array' THEN fields->'年度开单金额'->0->>'text' ELSE fields->>'年度开单金额' END,
              '0'),
            '[^0-9.-]',
            '',
            'g'),
          ''),
        '0')::NUMERIC) AS 年度开单金额
  FROM datapivot_core_data
  WHERE COALESCE(NULLIF(TRIM(CASE WHEN jsonb_typeof(fields->'当前年') = 'array' THEN fields->'当前年'->0->>'text' ELSE fields->>'当前年' END),
        ''),
      '2026') = '2026'
  GROUP BY 1,
    2,
    3,
    4 ),
  flattened_tree AS (
  SELECT CASE WHEN 客户经理 <> '' THEN '客户经理' WHEN 片区 <> '' THEN '片区' WHEN 战区 <> ''
    AND 战区 LIKE '%行业部' THEN '行业部' WHEN 行业部 <> '' THEN '行业部' WHEN 战区 <> '' THEN '战区' ELSE '事业群' END AS 层级,
    CASE WHEN 客户经理 <> '' THEN COALESCE(NULLIF(片区,
        ''),
      NULLIF(行业部,
        ''),
      NULLIF(战区,
        ''),
      '商用事业群') WHEN 片区 <> '' THEN NULLIF(战区,
      '') WHEN 战区 <> ''
    OR 行业部 <> '' THEN '商用事业群' ELSE NULL END AS 上级名称,
    CASE WHEN 客户经理 <> '' THEN 客户经理 WHEN 片区 <> '' THEN 片区 WHEN 战区 <> '' THEN 战区 WHEN 行业部 <> '' THEN 行业部 ELSE '商用事业群' END AS 节点名称,
    CASE WHEN COALESCE(NULLIF(战区,
        ''),
      NULLIF(行业部,
      '')) LIKE '%行业部' THEN '行业线' WHEN COALESCE(NULLIF(战区,
        ''),
      NULLIF(行业部,
        '')) LIKE '%战区' THEN '区域线' ELSE '事业群层级' END AS 线,
    总任务金额,
    年度开单金额
  FROM raw_data ),
  summarized_nodes AS (
  SELECT 线,
    层级,
    上级名称,
    节点名称,
    SUM(总任务金额) AS 总任务金额,
    SUM(年度开单金额) AS 年度开单金额
  FROM flattened_tree
  WHERE 节点名称 <> ''
  GROUP BY 线,
    层级,
    上级名称,
    节点名称 )
SELECT 线,
  层级,
  节点名称,
  上级名称,
  总任务金额,
  年度开单金额,
  CASE WHEN 总任务金额 = 0 THEN 0 ELSE ROUND((年度开单金额 / 总任务金额) * 100,
    2) END AS 达成率,
  ROUND(总任务金额 - 年度开单金额,
    2) AS 剩余任务金额
FROM summarized_nodes ),
命中节点 AS (
SELECT 节点名称
FROM 汇总结果
WHERE 节点名称 LIKE '%片区%'
   OR 上级名称 LIKE '%片区%'
),
命中孙级 AS (
SELECT 子节点.节点名称
FROM 汇总结果 子节点
WHERE 子节点.上级名称 IN (
  SELECT 节点名称
  FROM 命中节点)
)
SELECT *
FROM 汇总结果
WHERE 节点名称 LIKE '%片区%'
   OR 上级名称 LIKE '%片区%'
   OR 节点名称 IN (SELECT 节点名称 FROM 命中孙级)
ORDER BY 线 DESC,
层级 DESC,
上级名称,
节点名称
LIMIT 10000",[],89,0,,True,ui,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
986,63,mom,泠州片区今年前六个月大盘开单的环比增速轨迹,"SELECT 月份, SUM(年度开单金额) AS 当月销售, LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) AS 上月销售, CASE WHEN LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) > 0 THEN ROUND((SUM(年度开单金额) - LAG(SUM(年度开单金额)) OVER (ORDER BY 月份)) / LAG(SUM(年度开单金额)) OVER (ORDER BY 月份) * 100, 2) ELSE 0 END AS 环比增长 FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '泠州片区' AND 层级 = '片区' AND 行业线 = '总额(未拆分)' AND 年份 = '2026' AND 月份 BETWEEN 1 AND 6 GROUP BY 月份 ORDER BY 月份;","['环比', '片区', '月度趋势']",99,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
995,63,audit,珩京片区的官方大盘指标和派下去的客户经理指标总和有没有未分派指标,"WITH office_budget AS (SELECT SUM(总任务金额) AS o_target FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '珩京片区' AND 层级 = '片区' AND 行业线 = '总额(未拆分)' AND 年份 = '2026'), reps_budget AS (SELECT SUM(总任务金额) AS r_target FROM public.v_feishu_tbl_gamma_v2 WHERE 上级名称 = '珩京片区' AND 层级 = '客户经理' AND 行业线 = '总额(未拆分)' AND 年份 = '2026') SELECT o_target AS 片区总预算, r_target AS 下属分发总预算, (o_target - r_target) AS 未分配预留额度 FROM office_budget, reps_budget;","['对账', '片区', '合规分析']",98,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
997,63,ratio,云栖片区一季度办公板块开单占云梦整体开单的比例是多少,"SELECT SUM(CASE WHEN 行业线 = '楼宇办公' THEN 年度开单金额 ELSE 0 END) AS 办公板块开单, SUM(CASE WHEN 行业线 = '总额(未拆分)' THEN 年度开单金额 ELSE 0 END) AS 大盘总开单, CASE WHEN SUM(CASE WHEN 行业线 = '总额(未拆分)' THEN 年度开单金额 ELSE 0 END) > 0 THEN ROUND(SUM(CASE WHEN 行业线 = '楼宇办公' THEN 年度开单金额 ELSE 0 END) / SUM(CASE WHEN 行业线 = '总额(未拆分)' THEN 年度开单金额 ELSE 0 END) * 100, 2) ELSE 0 END AS 办公占比 FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '云栖片区' AND 层级 = '片区' AND 年份 = '2026' AND 月份 BETWEEN 1 AND 3;","['占比', '行业线', '一季度']",98,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
998,63,yoy,5月医疗板块和去年同期比增幅怎么样,"SELECT SUM(年度开单金额) AS 今年五月医疗开单, SUM(去年同期开单) AS 去年五月医疗开单, CASE WHEN SUM(去年同期开单) > 0 THEN ROUND((SUM(年度开单金额) - SUM(去年同期开单)) / SUM(去年同期开单) * 100, 2) ELSE 0 END AS 同比增速 FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '商用事业群' AND 层级 = '事业群' AND 行业线 = '工业健康' AND 年份 = '2026' AND 月份 = 5;","['同比', '行业线', '五月']",97,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
999,63,yoy,朔岑战区今年上半年的官方总开单和去年同期比增幅是多少,"SELECT SUM(年度开单金额) AS 今年上半年销售, SUM(去年同期开单) AS 去年同期销售, CASE WHEN SUM(去年同期开单) > 0 THEN ROUND((SUM(年度开单金额) - SUM(去年同期开单)) / SUM(去年同期开单) * 100, 2) ELSE 0 END AS 同比增速 FROM public.v_feishu_tbl_gamma_v2 WHERE 节点名称 = '朔岑战区' AND 层级 = '战区' AND 行业线 = '总额(未拆分)' AND 年份 = '2026' AND 月份 BETWEEN 1 AND 6;","['同比', '战区', '上半年']",97,0,,True,ui,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
