id,dataset_id,question_text,sort_order,is_active,created_at,updated_at
1062,63,上个月业绩怎么样,1,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
1063,63,各大区上个月指标和实际开单是多少,2,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
1064,63,今年一季度哪个片区最争气,3,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
1065,63,今年哪几个大区增速最快,4,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
1067,13,消费者事业群整体达成率是多少,1,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1069,13,各战区达成率排名,3,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1072,13,线下业务达成情况怎么样,6,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1073,13,哪些战区达成率低于20%,7,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1074,13,线下业务线任务完成最好的战区是哪个,8,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1734,3,商用事业群整体达成率是多少,10,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1736,3,四大战区区域业绩整体盘点,30,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1737,3,客户经理年度开单金额 Top10 是谁,40,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
3051,62,电商事业群的业绩,10,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3052,62,电商事业群三大行业部年度目标营收对比,20,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3053,62,电商事业群行业部业绩排名,30,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3056,62,电商事业群细分业务达成率排名,70,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3058,62,电商事业群达成率低于30%的细分业务有哪些,110,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3059,62,电商事业群前5的细分业务,120,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3456,2,消费者事业群业绩怎么样,10,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3457,2,消费者事业群各战区业绩排名,20,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3458,2,消费者事业群哪个战区完成率最高,30,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3459,2,消费者事业群缺口最大的战区,40,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3460,2,消费者事业群垫底的5个城市战区,50,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3461,2,哪些城市战区达成率低于10%,60,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3462,2,消费者事业群各城市战区业绩排名,70,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3465,2,消费者事业群年度开单金额最高的城市战区,100,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
1066,63,澔原战区任务对得上吗,5,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
1068,13,沧岩战区业绩怎么样,2,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1070,13,沧岩战区和澔岳战区对比,4,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1071,13,查看沐阳战区的城市站明细,5,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
1735,3,澔原战区业绩怎么样,20,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
1738,3,看下商用事业群客户经理殷怀川的业绩,50,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
3054,62,内贸行业部的业绩,40,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3055,62,内贸行业部有哪些细分业务,50,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3057,62,云集直营和澜庭直营对比,80,True,2026-07-02 02:54:33.797427+00:00,2026-07-02 02:54:33.797427+00:00
3463,2,榕岭战区的业绩,80,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3464,2,榕岭战区下属城市战区业绩,90,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3466,2,澔岳战区的业绩,110,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
3467,2,云溟战区和沐阳战区对比,120,True,2026-07-08 07:41:23.865975+00:00,2026-07-08 07:41:23.865975+00:00
1739,3,澔原表现怎么样,60,True,2026-06-27 12:03:29.129775+00:00,2026-06-27 12:03:29.129775+00:00
